t;c.x;c.y;c.z;t.x;t.y;t.z;n.x;n.y;n.z;b.x;b.y;b.z
1.54;-7.092897081;9.07729725;0;0.271389686;-0.962469552;0;0.962469552;0.271389686;0;0;0;1
1.55;-7.090182703;9.06767269;0;0.271485927;-0.962442409;0;0.962442409;0.271485927;0;0;0;1
1.56;-7.087467362;9.058048402;0;0.271582269;-0.962415228;0;0.962415228;0.271582269;0;0;0;1
1.57;-7.084751057;9.048424386;0;0.27167871;-0.962388008;0;0.962388008;0.27167871;0;0;0;1
1.58;-7.082033788;9.038800642;0;0.27177525;-0.96236075;0;0.96236075;0.27177525;0;0;0;1
1.59;-7.079315552;9.029177171;0;0.271871893;-0.962333453;0;0.962333453;0.271871893;0;0;0;1
1.6;-7.076596349;9.019553973;0;0.271968635;-0.962306116;0;0.962306116;0.271968635;0;0;0;1
1.61;-7.073876179;9.009931049;0;0.272065476;-0.962278742;0;0.962278742;0.272065476;0;0;0;1
1.62;-7.07115504;9.000308399;0;0.272162419;-0.962251328;0;0.962251328;0.272162419;0;0;0;1
1.63;-7.06843293;8.990686023;0;0.272259464;-0.962223874;0;0.962223874;0.272259464;0;0;0;1
1.64;-7.06570985;8.981063921;0;0.272356609;-0.962196382;0;0.962196382;0.272356609;0;0;0;1
1.65;-7.062985798;8.971442095;0;0.272453854;-0.962168851;0;0.962168851;0.272453854;0;0;0;1
1.66;-7.060260773;8.961820544;0;0.272551203;-0.962141279;0;0.962141279;0.272551203;0;0;0;1
1.67;-7.057534773;8.95219927;0;0.272648653;-0.962113669;0;0.962113669;0.272648653;0;0;0;1
1.68;-7.054807799;8.942578271;0;0.272746204;-0.962086019;0;0.962086019;0.272746204;0;0;0;1
1.69;-7.052079849;8.932957549;0;0.272843857;-0.96205833;0;0.96205833;0.272843857;0;0;0;1
1.7;-7.049350922;8.923337105;0;0.272941613;-0.9620306;0;0.9620306;0.272941613;0;0;0;1
1.71;-7.046621016;8.913716937;0;0.273039471;-0.962002831;0;0.962002831;0.273039471;0;0;0;1
1.72;-7.043890132;8.904097048;0;0.27313743;-0.961975023;0;0.961975023;0.27313743;0;0;0;1
1.73;-7.041158268;8.894477437;0;0.273235494;-0.961947174;0;0.961947174;0.273235494;0;0;0;1
1.74;-7.038425422;8.884858105;0;0.27333366;-0.961919285;0;0.961919285;0.27333366;0;0;0;1
1.75;-7.035691594;8.875239051;0;0.273431929;-0.961891356;0;0.961891356;0.273431929;0;0;0;1
1.76;-7.032956783;8.865620278;0;0.2735303;-0.961863387;0;0.961863387;0.2735303;0;0;0;1
1.77;-7.030220988;8.856001784;0;0.273628776;-0.961835377;0;0.961835377;0.273628776;0;0;0;1
1.78;-7.027484207;8.84638357;0;0.273727355;-0.961807327;0;0.961807327;0.273727355;0;0;0;1
1.79;-7.02474644;8.836765637;0;0.273826038;-0.961779237;0;0.961779237;0.273826038;0;0;0;1
1.8;-7.022007686;8.827147986;0;0.273924823;-0.961751107;0;0.961751107;0.273924823;0;0;0;1
1.81;-7.019267943;8.817530615;0;0.274023715;-0.961722935;0;0.961722935;0.274023715;0;0;0;1
1.82;-7.016527211;8.807913527;0;0.274122711;-0.961694723;0;0.961694723;0.274122711;0;0;0;1
1.83;-7.013785489;8.798296721;0;0.27422181;-0.96166647;0;0.96166647;0.27422181;0;0;0;1
1.84;-7.011042775;8.788680198;0;0.274321013;-0.961638176;0;0.961638176;0.274321013;0;0;0;1
1.85;-7.008299068;8.779063958;0;0.274420323;-0.961609841;0;0.961609841;0.274420323;0;0;0;1
1.86;-7.005554368;8.769448001;0;0.274519737;-0.961581465;0;0.961581465;0.274519737;0;0;0;1
1.87;-7.002808673;8.759832329;0;0.274619256;-0.961553048;0;0.961553048;0.274619256;0;0;0;1
1.88;-7.000061983;8.75021694;0;0.274718879;-0.96152459;0;0.96152459;0.274718879;0;0;0;1
1.89;-6.997314295;8.740601837;0;0.274818611;-0.96149609;0;0.96149609;0.274818611;0;0;0;1
1.9;-6.99456561;8.730987019;0;0.274918447;-0.961467549;0;0.961467549;0.274918447;0;0;0;1
1.91;-6.991815926;8.721372486;0;0.275018387;-0.961438967;0;0.961438967;0.275018387;0;0;0;1
1.92;-6.989065242;8.711758239;0;0.275118435;-0.961410343;0;0.961410343;0.275118435;0;0;0;1
1.93;-6.986313557;8.702144279;0;0.27521859;-0.961381676;0;0.961381676;0.27521859;0;0;0;1
1.94;-6.98356087;8.692530606;0;0.27531885;-0.961352969;0;0.961352969;0.27531885;0;0;0;1
1.95;-6.98080718;8.68291722;0;0.275419217;-0.961324219;0;0.961324219;0.275419217;0;0;0;1
1.96;-6.978052485;8.673304122;0;0.27551969;-0.961295428;0;0.961295428;0.27551969;0;0;0;1
